Unnamed: 0,seed,binary codification,max layers,max convs per layer,layers,training secs,epochs,val_loss,val_iou,val_dice,val_dice crossentropy,val_accuracy,num_parameters,flops,val_iou_bin,gradnorm,synflow,RN,NTK
17,17,OWF4ZQSNMWAQNAALRT2OZ7KBCAXAQCQAG3YADTA_192,4,2,4,100.21884647899788,15,0.0340005040168762,0.9659994959831236,0.9826971006393432,0.7344424188137054,0.9825428009033204,1104361,2893868800.0,8,0.17642316222190857,-734233.267456945,0.0,-85.15777587890625
98,99,AAAAAAAABWNQNAAPVQAEZNGISMABRLQAHYGRGRA_192,4,2,3,66.51124363299823,15,0.0368042945861816,0.9631957054138184,0.981244957447052,0.7352362799644471,0.9820966339111328,585751,2910191616.0,8,0.28625646233558655,-326383.8605582528,0.0,-285.8394775390625
97,98,AAAAAAAAAABKDP4GSBCXIFWNBSAA3F5GCJYAD4I_192,4,2,3,71.69601187200169,15,0.0355194628238677,0.9644805371761322,0.981908793449402,0.7332290434837341,0.9821971130371092,69026,3004157952.0,8,0.5887240171432495,-10328.810178538693,0.0,-72.84001159667969
847,851,OVJSYABMEADDRAAMQAAMBFYJSYAAJNS2C3I52MA_192,4,2,4,67.90989411099872,15,0.0345645689964294,0.9654354310035704,0.9824070644378662,0.736214200258255,0.982684326171875,145084,3512773632.0,8,0.23644353449344635,-0.5149290386159322,0.0,-9687043.0
705,709,CBEEYRO4TZRIBZRPSQACYUAAI2AB5BQAM6AAGBY_192,4,2,4,121.90318101899992,15,0.0376271116733551,0.9623728883266448,0.9808188569545746,0.7326126754283905,0.9819886016845704,783458,4188027904.0,8,2.0744454860687256,-11400284.309814453,0.0,-15082.3330078125
577,580,HW4F3QT5UWVKXIMHTXCF2EAB6GAAQFQAMK2NSRI_192,4,2,4,432.9603300849849,15,0.0370146322250366,0.9629853677749634,0.981137399673462,0.7346405279636383,0.9820934295654296,424656,4216553472.0,8,0.5941453576087952,-618173.6834272086,0.0,-85.96421813964844
411,413,EMOMIADVV2HA3KHKEXCODUAA2QUZVHRLP2DVDUQ_192,4,2,4,85.31350910000037,15,0.0371049833297729,0.9628913298249244,0.9810876020789148,0.7348194921016693,0.982092170715332,1259019,5187619840.0,8,1.0094077587127686,-695652.2972056573,0.0,-40.529747009277344
465,467,AAAAAAAABABBROR4BQAGJU2BLRRPTYQAG2QADNI_192,4,2,3,269.4986850999994,15,0.0271349829435348,0.9728645357489586,0.986242549419403,0.7364090603590011,0.9834659576416016,491599,4480774144.0,9,0.2718833386898041,-107577553.57993293,0.0,-33.16637420654297
304,306,AAAAAAAAAAB6LJ4DQHJEGPZR22ABTY5CH3GQBFQ_192,4,2,3,165.41336879998562,15,0.0279729831218719,0.972027016878128,0.9858091139793396,0.7362007105350494,0.9832988739013672,498205,5220577280.0,9,0.040549732744693756,-0.9303722271509676,0.0,8346090.0
635,638,AAZXZ42UDCZ2H34MTQADL4ABWIABVER3SCKEREI_192,4,2,4,124.65330272499703,15,0.0299393129348754,0.9700606870651244,0.9847974658012392,0.7352781224250794,0.9826275634765624,488064,5970788352.0,9,0.3495629131793976,-3.5268784540752596,0.0,8521051.0
489,491,AAAAAAAADHRJTMSKRVCCZEAB3QHM3IXINITA2XA_192,4,2,3,121.16210319999664,15,0.0310080006718635,0.9689853051304818,0.9842420196533204,0.7370217069983482,0.9828149604797364,372908,6524746752.0,9,0.17566463351249695,-3395878.8229777757,0.0,-55.77178955078125
527,529,AANUYACBIAD2NI4KSQACKMABKMAAMB5ZS2IAAVQ_192,4,2,4,130.52013522900234,15,0.0301807463169097,0.9698192536830902,0.9846740198135376,0.7366595304012299,0.9827839660644532,435749,6558545920.0,9,0.419513463973999,-1439861.041492084,0.0,-47.820430755615234
348,350,AAAAAAAAAABG5OEEUFIM6PBRHSAALMVIUBQACMQ_192,4,2,3,110.51014009999926,15,0.0323513171076774,0.9675727680325508,0.9835139733552932,0.7370043158531189,0.9827786827087402,435117,7571521536.0,9,0.2661594748497009,-32165.750727077088,0.0,-30.509357452392578
529,531,AAZX64IUIADYFAAN4AAEKMWZQ2AAXCXZPCH4SBQ_192,4,2,4,198.06479473100623,15,0.0310834741592407,0.9689165258407592,0.9842083716392516,0.7371586835384369,0.9830172729492188,1532417,9101950976.0,9,0.08895742893218994,-246213.15150667581,0.0,-7.791931629180908
295,297,IHGDYABFPC3LRCGM4UC5DMADCO7YLBWKBCIAHBI_192,4,2,4,131.57308520004153,15,0.0326243782043457,0.9673756217956544,0.9834130215644836,0.7371358239650726,0.982566909790039,2908762,9162551296.0,9,0.15075086057186127,-114005.06933412341,0.0,-13.918405532836914
391,393,AAAAAAAAAQXGNAAMBAAM6EABWSAA3JS6MLIAG5A_192,4,2,3,144.6256899999862,15,0.0308566829562187,0.969141631424427,0.9843236970901488,0.7366562309861183,0.9830002975463868,722205,9562066944.0,9,0.3564053177833557,-530639.8537788484,0.0,-14.944554328918457
951,955,YVFUI5HAF6T233RPTAAMDVYB6L4ZRGWL6LYABAI_192,4,2,4,245.3158291549989,15,0.0327533102035522,0.9672466897964478,0.9833419179916382,0.7287651705741882,0.98265869140625,3230506,15910915072.0,9,0.5431866645812988,-36.08239198640899,0.0,1344485.5
