seed,binary codification,max layers,max convs per layer,layers,training secs,epochs,val_loss,val_iou,val_dice,val_dice crossentropy,val_accuracy,train_loss,train_iou,train_dice,train_dice crossentropy,train_accuracy
697,AAAAAAAAAAAAAAAAAAAHYXCM3SAAFPQABJYAHAY_192,4,2,2,149.75938081399988,15,0.2258112859725952,0.7741887140274047,0.8705041420459747,0.6528983521461487,0.9406785583496092,0.2198299810290336,0.7801445415616035,0.87505027115345,0.6562330901622773,0.9408249282836914
700,AAAAAAAAAAAAAAAAAAAMZEPQ6OLMXPWGDDQUJNI_192,4,2,2,79.99645618300008,15,0.7898711431026458,0.2101288568973541,0.3467830383777618,0.1841621625423431,0.1997586059570312,0.7909302508831024,0.2090685421228408,0.3451985052227974,0.1833418840169906,0.1988241386413574
703,AAAAAAAAAAAAAAAAACJEDUAAOWJMLMQACCXRATA_192,4,2,2,47.36351809300004,15,0.3648769688606262,0.6351230311393737,0.772187875509262,0.5673810875415802,0.9009127044677734,0.3514847147464752,0.6485873791575432,0.7827561846375466,0.5759814009070396,0.9052735328674316
710,AAAAAAAABS3I54VC4QAPI4ABG4HMICVCXIIAGVI_192,4,2,3,618.7430011639999,15,0.7959028553962707,0.2040971446037292,0.3381870377063751,0.1827698063850402,0.1969538879394531,0.7932069054245949,0.2067961946129798,0.3421203690767288,0.1848767438530922,0.1995253181457519
714,AAAAAAAAAAAAAAAAAAAFDM6BQMAAHCQAFCQAGRA_192,4,2,2,39.079397163000976,15,0.3253506708145142,0.6746493291854858,0.8026852869987487,0.5636817812919617,0.912641372680664,0.3078405207395553,0.6921566414833069,0.8153387907147408,0.5752133977413177,0.9150779342651368
715,AAEBYAHR4ADLR6A6XR2HAF3RKMAAEHQAB6AAB7A_192,4,2,4,274.96592022700133,15,0.2551270878314972,0.7448729121685028,0.8519522953033447,0.6047655487060547,0.9320538330078124,0.2433457526564598,0.7566521883010864,0.8595276647806167,0.6111732730269432,0.9350603485107422
719,AAAAAAAAAADRT6X44WGBL4ABAR5OLASOG6DU3QA_192,4,2,3,1799.432744402,15,0.7962988936901092,0.2037011063098907,0.337886654138565,0.1968946468830108,0.1964463806152343,0.7931585678458214,0.2068591406941413,0.3421167513728141,0.1993443283438682,0.1996521949768066
724,DR4S2QXNN7RK7CSHSBOPJUAA2UFO4DQAHGAADRA_192,4,2,4,632.0060268779998,15,0.2617112064361572,0.7382887935638428,0.8470222878456116,0.6126328051090241,0.930236587524414,0.2604820856451988,0.7395146250724792,0.8483136653900146,0.6139968311786652,0.931238498687744
725,AAAAAAAAAAAAAAAAABGNOEADQ6MAPPQANISVKFY_192,4,2,2,380.8132360610016,15,0.7928784668445588,0.2071215331554413,0.3426648819446564,0.1720659804344177,0.1994391632080078,0.7933546322584152,0.2066414493322372,0.3418891263008117,0.1716782611608505,0.1989039993286132
726,AAAAAAAABAXQHD42AF2424AA2QABUIQAPYQADMA_192,4,2,3,327.661319715,15,0.7954176187515258,0.2045823812484741,0.3389613997936249,0.1758914613723755,0.1970867919921875,0.7929519885778427,0.2070563504099846,0.3424899762868881,0.177737058699131,0.1994920921325683
739,AAAAAAAAAAAAAAAAAMZ6AEABCKVD3AUKROIAC5Y_192,4,2,2,569.2854519200009,15,0.3559198880195617,0.6440801119804382,0.7799217510223388,0.5484009528160095,0.9089165496826171,0.3321880495548248,0.6678090128302574,0.7974960973858833,0.5544128894805909,0.9104194068908692
749,AAAAAAAADQVOB4Q6FUDFCEYHIOAAEZQANGBVBQA_192,4,2,3,816.3643177949998,15,0.2543637824058533,0.7456362175941468,0.8522794795036316,0.55900829911232,0.930939712524414,0.2853626149892807,0.7146368685364723,0.831294735968113,0.5319027012586593,0.9228353881835938
751,AAK4OQHAULTCN4BEEQACC5SZ2OMELLQAFCITHUA_192,4,2,4,308.8308174900012,15,0.3278627240657806,0.6721372759342193,0.802303421497345,0.5231263816356659,0.9110734558105468,0.3380393806099891,0.661959468126297,0.7946407559514046,0.5110025924444198,0.9083656120300292
754,AAAAAAAAAAAAAAAAACZTYUABRQNAQH4D6LAAGUQ_192,4,2,2,342.294930742999,15,0.1575493836402893,0.8424506163597107,0.9136701428890228,0.6846289706230163,0.9577381896972657,0.1618744164705276,0.8382167169451713,0.9112722757458688,0.6823837211728097,0.9555576705932616
