seed,binary codification,max layers,max convs per layer,layers,training secs,epochs,loss,iou,dice,dice crossentropy,accuracy
174,AAAAAAAAAAAAAAAAABLTBEABK77PZBQAOYLRS5A_192,4,2,2,2466.9552765560074,15,0.0973002326488494,0.9026997673511504,0.9487523317337035,0.7134168887138367,0.970501937866211
175,AAAAAAAAAAAPTAAPRRJ5J7KROLQZ4BWBF6K5BUI_192,4,2,3,159.73500118599625,15,0.5392431461811066,0.4607568538188934,0.6302326619625092,0.3837533330917358,0.7711467742919922
176,AAAAAAAAAAAAAAAAAAAGC7WQYDRMXKRCG2SF35Y_192,4,2,2,497.564753166007,15,0.052770357131958,0.947229642868042,0.9728745889663696,0.7258155143260956,0.9794345092773438
177,AAAAAAAAAAAAAAAAAEZEC5YE66TCPFS2TBS52UA_192,4,2,2,76.21401190200413,15,0.0483808410167694,0.9516191589832306,0.975199031829834,0.7328062391281128,0.980858383178711
178,AAAAAAAAAAAAAAAAAOD4JUADBSYZVIQADZ2MI7A_192,4,2,2,606.6853787099972,15,0.3590590333938598,0.6409409666061401,0.7801176404953003,0.6193714702129364,0.9398389434814454
179,AAAAAAAAAAAAAAAAAAADGPAZWKJH7NQACAQAGAA_192,4,2,2,117.4274177650077,15,0.1658397853374481,0.8341602146625519,0.908939505815506,0.664202526807785,0.9540248870849608
180,AAAAAAAAAAAAAAAAAAAODEAD6QAAMBQAGBYADUA_192,4,2,2,405.4149784280016,15,0.304763730764389,0.695236269235611,0.8175003111362458,0.5602304553985595,0.9213568115234376
181,AACXYADUUAAYDAAOWVLGCM6VQMAAYJTLULIABBI_192,4,2,4,65.42595718300436,15,0.0762786662578582,0.9237213337421416,0.9602916061878204,0.7174475383758545,0.9747904205322264
182,AAAAAAAABQ5KFD4ZWAAFAUAD6MABVH66CKQAGBI_192,4,2,3,425.64218635899306,15,0.7833256340026855,0.2166743659973144,0.3553788757324219,0.1822094273567199,0.2332473754882812
183,AAAAAAAAAAAAAAAAAAABLEAA6EAATFQAMAIABBY_192,4,2,2,61.60387700100546,15,0.2750945425033569,0.724905457496643,0.8385808575153351,0.6032985556125641,0.9257211303710936
184,AAAAAAAAAABW5L4MQSJD3UADRSAAVC5DV2YAHMQ_192,4,2,3,531.1912671470054,15,0.0329918789863586,0.9670081210136412,0.9832175147533416,0.7349825322628021,0.9825293731689452
