id,gradient,synflow,iou,dice,accuracy,dice crossentropy,real_codification,binary_codification
70_AD6X2HUZ4UY3KUPC4AYG6U4CMYIQYVQ_146,12.8203565268,9.9064638806,0.2520635724067688,0.4297285079956054,0.1498525142669677,0.2822723388671875,"[0.1, 0.68, 0.91, 0.37, 0.68, 0.71, 0.01, 0.83, 0.34, 0.21, 0.1, 0.68, 0.31, 0.51, 0.1, 0.01, 0.41, 0.74, 0.34, 0.61, 0.01, 0.1, 0.68, 0.11, 0.37, 0.01, 0.01, 0.01, 0.65, 0.01, 0.41, 0.83, 0.34, 0.71, 0.51, 0.65, 0.01, 0.71, 0.65, 0.68, 0.01, 0.51, 0.01, 0.01, 0.21, 0.01, 0.34, 0.41]",00111111010111110100011110100110011110010100110001101101010101000111100010111000000011000001101111010100111000001001100110000100010000110001010110
71_342R6ITAPE2QPOJQEXIZK_104,14.9156274641,10.6650320106,0.2378953695297241,0.395110011100769,0.0866150856018066,0.2754849791526794,"[0.74, 0.68, 0.81, 0.74, 0.34, 0.11, 0.51, 0.92, 0.34, 0.11, 0.1, 0.01, 0.01, 0.51, 0.92, 0.34, 0.21, 0.46, 0.01, 0.11, 0.51, 0.74, 0.68, 0.31, 0.28, 0.01, 0.11, 0.01, 0.46, 0.68, 0.71, 0.28, 0.34, 0.61]",11011111001101010001111100100010011000000111100100110101000001111011100100110000001001011101000110010101
73_MS6HDYSYTAXRZKLOBYP3A_104,11.8627597052,10.794255247,0.2761602401733398,0.4688481092453003,0.1823979616165161,0.3140536546707153,"[0.28, 0.34, 0.31, 0.83, 0.01, 0.51, 0.01, 0.1, 0.68, 0.11, 0.19, 0.68, 0.11, 0.01, 0.28, 0.01, 0.31, 0.83, 0.01, 0.51, 0.01, 0.46, 0.34, 0.31, 0.74, 0.68, 0.01, 0.01, 0.92, 0.01, 0.51, 0.92, 0.68, 0.01]",01100100101111000111000111100010010110001001100000101111000111001010100101101110000011100001111110110000
74_OSFURGXGBTJ4HKXGMU37K_104,13.0777604813,11.2536201655,0.2758595943450928,0.4692331552505493,0.1902702450752258,0.3140676021575928,"[0.37, 0.34, 0.31, 0.19, 0.68, 0.71, 0.51, 0.01, 0.01, 0.91, 0.37, 0.01, 0.81, 0.01, 0.1, 0.01, 0.91, 0.1, 0.68, 0.01, 0.51, 0.74, 0.34, 0.61, 0.65, 0.68, 0.21, 0.01, 0.46, 0.01, 0.91, 0.83, 0.68, 0.61]",01110100100010110100100010011010111001100000110011010011110000111010101011100110011001010011011111110101
75_ZTH4CZB2HEY573XK5QOYY_104,12.9574511451,10.766053665,0.2811218500137329,0.4645202159881592,0.1738480329513549,0.3162379264831543,"[0.65, 0.68, 0.21, 0.1, 0.68, 0.81, 0.01, 0.19, 0.68, 0.31, 0.01, 0.68, 0.71, 0.01, 0.92, 0.34, 0.21, 0.01, 0.68, 0.51, 0.51, 0.83, 0.34, 0.91, 0.74, 0.34, 0.51, 0.01, 0.65, 0.01, 0.51, 0.28, 0.01, 0.81]",11001100110011111100000101100100001110100011100100110001110111111110111011101010111011000001110110001100
76_D5GTTGDA2ECAFCX6AYM4E_104,11.7428473042,11.3909495499,0.270827054977417,0.4607219099998474,0.1815808415412902,0.3078401684761047,"[0.01, 0.68, 0.91, 0.1, 0.34, 0.21, 0.51, 0.1, 0.01, 0.81, 0.1, 0.01, 0.11, 0.51, 0.56, 0.34, 0.01, 0.56, 0.01, 0.01, 0.51, 0.56, 0.34, 0.61, 0.83, 0.68, 0.01, 0.01, 0.28, 0.01, 0.41, 0.37, 0.01, 0.31]",00011111010011010011100110011000011000001101000100000100000000101000101011111110000001100001100111000010
77_NSMM7GMCLTGFASLOZUDTE_104,14.3858226502,11.7507839684,0.2781983613967895,0.4682513475418091,0.1773158311843872,0.3164331316947937,"[0.28, 0.68, 0.31, 0.28, 0.01, 0.81, 0.51, 0.83, 0.01, 0.81, 0.65, 0.01, 0.71, 0.51, 0.37, 0.01, 0.81, 0.65, 0.34, 0.71, 0.01, 0.19, 0.34, 0.31, 0.74, 0.68, 0.41, 0.01, 0.74, 0.01, 0.11, 0.65, 0.68, 0.31]",01101100100110001100111110011001100000100101110011001100010100000100100101101110110011010000011100110010
78_APZV2RXJQ7GVSGUMXOF4G45J4BJXJUQ_146,12.694474251,11.4933507492,0.2498430013656616,0.4305191040039062,0.1457868218421936,0.2881339788436889,"[0.83, 0.68, 0.21, 0.46, 0.68, 0.61, 0.01, 0.1, 0.34, 0.91, 0.1, 0.01, 0.21, 0.51, 0.65, 0.68, 0.61, 0.28, 0.34, 0.11, 0.51, 0.46, 0.01, 0.41, 0.46, 0.68, 0.51, 0.01, 0.19, 0.68, 0.81, 0.1, 0.34, 0.81, 0.51, 0.74, 0.34, 0.21, 0.65, 0.01, 0.31, 0.51, 0.1, 0.34, 0.91, 0.1, 0.34, 0.31]",11111100110101110101000110111010011000011111001101010110010001101010001100101110111000101111000011011100111010100111100000010100110111010011010010
79_PT6GPONO6RCURWITRUMZC_104,14.7118040716,7.9074556702,0.261298656463623,0.4475181102752685,0.162488043308258,0.2993232011795044,"[0.37, 0.68, 0.21, 0.83, 0.01, 0.41, 0.01, 0.83, 0.34, 0.81, 0.74, 0.34, 0.91, 0.51, 0.74, 0.01, 0.71, 0.46, 0.34, 0.31, 0.01, 0.28, 0.68, 0.31, 0.19, 0.34, 0.81, 0.01, 0.74, 0.01, 0.41, 0.28, 0.34, 0.11]",01111100111111000110011110111001101011101111010001000101010010001101100100010011100011010001100110010001
80_I56VPIGOBR3N42VCR5CHC_104,13.5318966161,10.8012899072,0.2594932317733764,0.4399275779724121,0.1461455821990966,0.2976216673851013,"[0.56, 0.34, 0.91, 0.83, 0.34, 0.61, 0.01, 0.83, 0.34, 0.01, 0.28, 0.34, 0.81, 0.01, 0.1, 0.01, 0.51, 0.28, 0.68, 0.51, 0.51, 0.1, 0.34, 0.61, 0.56, 0.34, 0.71, 0.01, 0.83, 0.34, 0.11, 0.01, 0.68, 0.11]",01000111011111010101011110100000110011100000110001110110110111100110101010100010100011110100010001110001
