seed,binary codification,max layers,max convs per layer,layers,training secs,epochs,val_loss,val_iou,val_dice,val_dice crossentropy,val_accuracy,train_loss,train_iou,train_dice,train_dice crossentropy,train_accuracy,real_codification
1125,AAAAAAAAAAAAAAAAAMY6JEADK4XMYLQAGAI5D5A_192,4,2,2,3037.616982132895,25,0.0823068623741467,0.9176931376258533,0.9568133200208346,0.7051041632890701,0.9396016120910644,0.0906624880929787,0.9093233793973924,0.952048381542166,0.6993239291012288,0.9368670781453452,"[0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.3323333333333333, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.499, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.3323333333333333, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.499, 0.68, 0.68, 0.12, 0.93, 0.34, 0.34, 0.34, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.76, 0.34, 0.57, 0.01, 0.51, 0.68, 0.45, 0.34, 0.01, 0.68, 0.68, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.34, 0.01, 0.01, 0.51, 0.09, 0.68, 0.79, 0.43, 0.68, 0.79]"
1126,AAAAAAAAAABQZ6QOFCBC6MSAIQAAVAQAMCC4HBY_192,4,2,3,682.2820654821116,25,0.106167496740818,0.893832503259182,0.9435398697853088,0.6864161436756452,0.9333802858988444,0.1239286954204241,0.8760677094260851,0.933100250735879,0.6764238310356935,0.9283549547195434,"[0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.3323333333333333, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.499, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.34, 0.01, 0.45, 0.34, 0.84, 0.34, 0.01, 0.43, 0.01, 0.68, 0.01, 0.26, 0.01, 0.34, 0.26, 0.68, 0.9, 0.68, 0.26, 0.34, 0.01, 0.09, 0.01, 0.79, 0.01, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.51, 0.34, 0.01, 0.34, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.68, 0.01, 0.79, 0.01, 0.51, 0.68, 0.01, 0.93, 0.01, 0.57]"
1127,AAAAAAAAAABYN74FSQAMCEADO4QMRKX34Y3AYVY_192,4,2,3,3714.42422092706,25,0.0662711173295974,0.9337288826704024,0.965538327395916,0.7058058674136798,0.942031478881836,0.0609178057561318,0.9390790256361168,0.9684087324887514,0.7070174181212981,0.9439731041590372,"[0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.3323333333333333, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.499, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.43, 0.01, 0.23, 0.34, 0.84, 0.68, 0.9, 0.26, 0.68, 0.34, 0.51, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.68, 0.01, 0.79, 0.34, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.76, 0.68, 0.57, 0.01, 0.59, 0.01, 0.45, 0.59, 0.34, 0.68, 0.34, 0.43, 0.68, 0.57, 0.68, 0.68, 0.12, 0.51, 0.34, 0.01, 0.23, 0.09, 0.34, 0.57]"
1128,AAAAAAAAAAAAAAAAAAAEC4AB22AA7BVOBLQ7CQA_192,4,2,2,240.78402793291025,25,0.3179052094618479,0.682094790538152,0.8086659600337346,0.5211215342084566,0.8472769101460774,0.3514792664597432,0.6485101755708456,0.7834829324235518,0.4991713932404915,0.8356840292612712,"[0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.3323333333333333, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.499, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.3323333333333333, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.499, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.59, 0.01, 0.68, 0.68, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.43, 0.34, 0.45, 0.51, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.43, 0.68, 0.01, 0.68, 0.51, 0.34, 0.9, 0.09, 0.34, 0.57, 0.01, 0.09, 0.68, 0.9, 0.51, 0.01, 0.01]"
1129,OAMTIACM36J2DIMOAAADJUAAQDYKUHVASDQAARQ_192,4,2,4,533.5525818269234,25,0.1218315854668617,0.8781684145331383,0.9345586985349656,0.6775328829884529,0.9280001640319824,0.1275260801116625,0.8724717378616333,0.931019833063086,0.6730304268499215,0.926231320699056,"[0.43, 0.01, 0.01, 0.34, 0.34, 0.23, 0.34, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.59, 0.68, 0.23, 0.01, 0.84, 0.68, 0.34, 0.43, 0.34, 0.01, 0.68, 0.59, 0.01, 0.9, 0.43, 0.01, 0.01, 0.01, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.18, 0.34, 0.23, 0.34, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.26, 0.01, 0.01, 0.51, 0.93, 0.01, 0.68, 0.51, 0.01, 0.23, 0.68, 0.51, 0.01, 0.12, 0.26, 0.01, 0.57, 0.01, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.09, 0.01, 0.45]"
1130,6WOVIVJAYABSNAAMAQAGZUADQKAA7LQAPGIAB7A_192,4,2,4,1190.668571259128,25,0.0707224771380424,0.9292775228619576,0.9631619090835254,0.709731758137544,0.943208090464274,0.0721955238531033,0.9277883725861708,0.9623883879433076,0.7091504958768685,0.9424890359242756,"[0.84, 0.34, 0.45, 0.43, 0.34, 0.68, 0.34, 0.09, 0.34, 0.68, 0.26, 0.01, 0.23, 0.01, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.34, 0.34, 0.23, 0.34, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.34, 0.01, 0.01, 0.51, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.34, 0.68, 0.23, 0.34, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.93, 0.01, 0.34, 0.51, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.43, 0.68, 0.68, 0.68, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.84, 0.01, 0.9, 0.51, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.18, 0.68, 0.9]"
1131,AAAAAAAAAAAAAAAAAAAF24AAII5OQLRYB37RGFY_192,4,2,2,243.02274188492447,25,0.1367345174153645,0.8632654825846354,0.9258336161573728,0.6698706269264221,0.9248235702514648,0.1444391588370005,0.8554831085105737,0.9211653674642244,0.6646367022146781,0.9214126110076905,"[0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.3323333333333333, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.499, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.3323333333333333, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.499, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.51, 0.68, 0.68, 0.68, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.09, 0.01, 0.34, 0.01, 0.43, 0.34, 0.57, 0.59, 0.01, 0.68, 0.68, 0.09, 0.68, 0.01, 0.09, 0.68, 0.57, 0.51, 0.84, 0.01, 0.79, 0.68, 0.34, 0.57]"
1132,AAGXKAGRYAD27AA2GAACBHSZSU3MVFQAFJWEBAQ_192,4,2,4,843.9368042848073,25,0.1409657334287961,0.8590342665712039,0.9235803658763568,0.6640420476595561,0.92476011912028,0.1435768288870652,0.8564010106027127,0.9218938277413448,0.6628790566076835,0.92266579469045,"[0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.18, 0.34, 0.57, 0.34, 0.59, 0.01, 0.01, 0.76, 0.01, 0.57, 0.01, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.84, 0.34, 0.57, 0.68, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.76, 0.01, 0.45, 0.01, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.26, 0.01, 0.34, 0.34, 0.93, 0.34, 0.45, 0.34, 0.34, 0.68, 0.01, 0.34, 0.68, 0.45, 0.51, 0.34, 0.34, 0.68, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.51, 0.34, 0.23, 0.01, 0.68, 0.34, 0.01, 0.26, 0.01, 0.34]"
1133,AAAAAAAABYPWRF4CRQAMZ4SLPSAAFAVJCBIAGVY_192,4,2,3,5227.169790773885,25,0.0874322657783826,0.9125677342216174,0.954018871486187,0.6997989863157272,0.9370901107788084,0.0943308285127083,0.9056386264661948,0.9499931099514166,0.6954046476632356,0.9353307167689006,"[0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.3323333333333333, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.499, 0.43, 0.01, 0.23, 0.93, 0.68, 0.79, 0.34, 0.26, 0.68, 0.9, 0.09, 0.34, 0.12, 0.51, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.68, 0.68, 0.23, 0.68, 0.26, 0.34, 0.34, 0.76, 0.68, 0.9, 0.51, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.09, 0.34, 0.01, 0.34, 0.51, 0.34, 0.34, 0.26, 0.01, 0.34, 0.51, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.76, 0.34, 0.57]"
1134,AAAAAAAAAAAAAAAAAAAFZUAD64YZYZSAU2QADVI_192,4,2,2,1816.845294598956,25,0.1309814160068829,0.869018583993117,0.9291975071032842,0.6734616215030352,0.9245368639628092,0.1445459554592768,0.8554503832012414,0.9211927380412815,0.6639093061288198,0.9203676462173462,"[0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.3323333333333333, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.499, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.3323333333333333, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.499, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.51, 0.68, 0.23, 0.34, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.84, 0.68, 0.57, 0.01, 0.34, 0.01, 0.9, 0.93, 0.01, 0.9, 0.68, 0.26, 0.01, 0.12, 0.59, 0.68, 0.68, 0.01, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.43, 0.34, 0.68]"
1135,EMMU6RBHAADW5JWKUAAPAEAAWGAANEQAGGAAHFY_192,4,2,4,1183.7025707829744,25,0.066205458343029,0.933794541656971,0.965618207057317,0.7185072258114815,0.9448492050170898,0.0650201005240281,0.9349379091213148,0.9662623437742393,0.7192925165096918,0.94456627368927,"[0.26, 0.01, 0.9, 0.34, 0.34, 0.79, 0.68, 0.76, 0.01, 0.79, 0.26, 0.34, 0.9, 0.01, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.93, 0.68, 0.57, 0.34, 0.59, 0.68, 0.45, 0.51, 0.34, 0.79, 0.01, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.84, 0.01, 0.01, 0.34, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.26, 0.68, 0.12, 0.51, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.18, 0.34, 0.34, 0.34, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.34, 0.01, 0.9, 0.01, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.93, 0.34, 0.57]"
1136,AAAAAAAAAAAAAAAAAAAHL5JQ6NYMXLW3NKQADBY_192,4,2,2,945.9440343119204,25,0.1071248173713684,0.8928751826286316,0.9429009889562924,0.6842704966664315,0.93278652826945,0.1128976522634426,0.8871004557857911,0.9396084628999232,0.6794414500395457,0.9298815250396728,"[0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.3323333333333333, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.499, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.3323333333333333, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.499, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.43, 0.34, 0.57, 0.68, 0.51, 0.01, 0.9, 0.18, 0.68, 0.23, 0.01, 0.93, 0.01, 0.45, 0.51, 0.68, 0.68, 0.68, 0.34, 0.68, 0.45, 0.76, 0.34, 0.68, 0.01, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.34, 0.01, 0.57]"
1137,AAAAAAAAAAB6RAAIMAANZ7YM66ABZE6DFYDFAUA_192,4,2,3,972.3849610951728,25,0.6829278444250425,0.3170721555749575,0.4798827975988388,0.2561420088013013,0.2900007883707682,0.6820046376436949,0.3179658407966296,0.4807982191443443,0.2566685625662406,0.291011373202006,"[0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.3323333333333333, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.499, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.43, 0.68, 0.79, 0.34, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.59, 0.01, 0.9, 0.01, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.76, 0.68, 0.23, 0.68, 0.84, 0.01, 0.23, 0.18, 0.68, 0.57, 0.51, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.93, 0.34, 0.34, 0.34, 0.93, 0.01, 0.45, 0.51, 0.68, 0.01, 0.01, 0.34, 0.34, 0.79, 0.09, 0.34, 0.01]"
